Output from DMDX file:	Z:\MYDOCU~1\KATHYA~1\KATHYA~1\COMPLE~3\SPEECH~1\SU149C~1\kkrand.azk
Sub_Num	1	
Sub_ID	25 	
1	460	
2	511	
3	480	
4	416	
5	401	
6	452	
7	720	
8	519	
9	511	
10	619	
11	632	
12	468	
13	-2000	
14	387	
15	504	
16	-2000	
17	441	
18	-2000	
19	396	
20	577	
21	503	
22	515	
23	535	
24	529	
25	551	
26	466	
27	544	
28	427	
29	570	
30	522	
31	521	
32	508	
33	383	
34	456	
35	491	
36	466	
37	481	
38	519	
39	590	
40	521	
41	418	
42	430	
43	554	
44	-2000	
45	480	
46	-2000	
47	382	
48	-2000	
49	-2000	
50	502	
51	420	
52	408	
53	543	
54	485	
55	449	
56	-2000	
57	426	
58	444	
59	375	
60	496	
61	484	
62	482	
63	431	
64	430	
65	492	
66	464	
67	449	
68	526	
69	430	
70	441	
71	455	
72	463	
73	449	
74	458	
75	-2000	
76	446	
77	470	
78	-2000	
79	-2000	
80	412	
81	516	
82	-2000	
83	384	
84	580	
100	429	
